EnhetNavn;Kommune;lat;lng
Årnes skole;Nes;60.129706;11.476634
Hope oppvekstsenter Avdeling skole;Risør;58.6895508;9.1462124
Risør barneskole;Risør;58.716532;9.219084
Søndeled skole;Risør;58.762854;9.081439
Sinnes skule;Sirdal;58.913905;6.884116
Tonstad skule;Sirdal;58.671944;6.721219
Tvedestrand barneskole;Tvedestrand;58.6293317;8.9374461
Valle skule;Ålesund;62.47841;6.661038
Vegårshei skule;Vegårshei;58.75259;8.861058
Eikeland oppvekstsenter Avdeling skole;Vennesla;58.3392091;7.8096552
Kvarstein skole;Vennesla;58.237717;7.939567
Moseidmoen skole;Vennesla;58.2602514;7.9581254
Oasen skole Vennesla AS;Vennesla;58.2777255;7.970207
Skarpengland skole;Vennesla;58.2946496;7.8526035
Vennesla skole;Vennesla;58.2759824;7.9724086
Åmli skule;Åmli;58.772319;8.49638
Åseral barne- og ungdomsskule;Åseral;58.61885;7.420922
Arnestad skole;Asker;59.802259;10.489535
Billingstad skole;Asker;59.8748103;10.4733436
Blakstad skole;Asker;59.8126073;10.4559585
Bondi skole;Asker;59.8241209;10.439695
Brusetkollen skole og ressurssenter;Asker;59.8522769;10.459565
Drengsrud skole;Asker;59.8291591;10.4030218
Folkestad skole;Asker;59.551606;10.465046
Frydenlund skole;Narvik;68.4412587;17.4152958
Hagaløkka skole;Asker;59.8304179;10.422298
Heggedal skole;Asker;59.791514;10.4449062
Hofstad skole;Asker;59.8478507;10.4717594
Hvalstad skole;Asker;59.8604039;10.4654071
Hyggen skole;Asker;59.716743;10.3727492
Jansløkka skole;Asker;59.8489188;10.4435331
Mellom-Nes skole;Asker;59.8663559;10.4965892
Midtbygda skole;Oppdal;62.616535;9.567065
Nesøya skole;Asker;59.8692011;10.518609
Nærsnes skole;Asker;59.7550694;10.5049964
Rønningen skole;Asker;59.8182215;10.4287453
Slemmestad barneskole;Asker;59.7793429;10.4913742
Solberg skole;Drammen;59.763357;10.077614
Spikkestad skole;Asker;59.7494921;10.3360997
Steinerskolen i Asker skole;Asker;59.8613471;10.4950208
Steinerskolen i Hurum Sti;Asker;59.6330556;10.4958333
Stiftelsen Asker International School;Asker;59.8297074;10.4171605
Stiftelsen Vollen montessoriskole;Asker;59.807371;10.4854282
Sydskogen skole;Asker;59.7596789;10.4525153
Sætre skole;Notodden;59.570211;9.273259
Tofte skole;Asker;59.5416449;10.554122
Torvbråten skole;Asker;59.7615417;10.4796738
Vardåsen skole;Asker;59.8194701;10.3792916
Vettre skole;Asker;59.8256635;10.4692543
Aurskog-Høland kommune - Aursmoen skole;Aurskog-Høland;59.92424249999999;11.4502345
Aurskog-Høland kommune - Bjørkelangen skole;Aurskog-Høland;59.8747487;11.559191
Aurskog-Høland kommune - Bråte skole;Aurskog-Høland;59.7211759;11.4531086
Aurskog-Høland kommune - Haneborg skole;Aurskog-Høland;59.9275779;11.5432195
Aurskog-Høland kommune - Løken skole;Aurskog-Høland;59.7969962;11.4654578
Aurskog-Høland kommune - Rømskog skole;Aurskog-Høland;59.7492056;11.8105123
Aurskog-Høland kommune - Setskog oppvekstsenter - skole;Aurskog-Høland;59.83092509999999;11.7207282
Anna Krefting skole;Bærum;59.9488103;10.5133311
Bekkestua barneskole;Bærum;59.9239072;10.5897697
Blommenholm skole;Bærum;59.8985044;10.5484334
Bryn og Hammerbakken skole Bryn skole;Bærum;59.9205629;10.4950095
Eikeli skole;Bærum;59.9375584;10.6044264
Eiksmarka skole;Bærum;59.9480159;10.623141
Emma Hjorth skole;Bærum;59.8964789;10.4873517
Evje skole;Bærum;59.8987292;10.5148549
Grav skole;Bærum;59.9284162;10.6084974
Gullhaug skole;Bærum;59.9450763;10.4914306
Haslum skole;Bærum;59.925008;10.570385
Hosle skole;Bærum;59.9348123;10.584765
Høvik skole;Lier;59.760162;10.2396001
Høvik Verk skole;Bærum;59.893818;10.570734
Jar skole;Bærum;59.920452;10.625571
Jong skole;Bærum;59.8873598;10.5091761
Levre skole;Bærum;59.9068397;10.5088718
Lommedalen skole;Bærum;59.9607871;10.4737578
Lysaker skole;Bærum;59.9096682;10.6173232
Løkeberg skole;Bærum;59.9096897;10.5483153
Oksenøya skole;Bærum;59.8984944;10.6108613
Oslo International School;Bærum;59.9196503;10.5832691
Rykkinn skole;Bærum;59.9299674;10.474445
Skui skole;Bærum;59.9271543;10.4472109
Snarøya skole;Bærum;59.888472;10.6230547
Stabekk skole;Bærum;59.9154946;10.5932701
Steinerskolen i Bærum Grunnskoleundervisning;Bærum;59.930249;10.60661
Stiftelsen Bærum montessoriskole;Bærum;59.907659;10.5788424
Storøya skole;Bærum;59.893952;10.609953
Tanum skole;Bærum;59.885377;10.477058
Bønsmoen skole;Eidsvoll;60.283946;11.17933
Dal skole;Frogn;59.7448728;10.6974616
Eidsvoll Verk skole;Eidsvoll;60.293558;11.158345
Feiring skole;Eidsvoll;60.4924065;11.1542598
Langset skole;Eidsvoll;60.4035025;11.2399196
Råholt skole;Eidsvoll;60.2734831;11.1891728
Steinerskolen på Eidsvoll;Eidsvoll;60.286582;11.240897
Vilberg skole;Østre Toten;60.6486598;10.8299005
Ås skole;Eidsvoll;60.329318;11.2151041
Kirkebygden barne- og ungdomsskole;Enebakk;59.7663725;11.1490756
Stranden skole;Enebakk;59.8229826;11.1663221
Ytre Enebakk skole;Enebakk;59.7208951;11.056512
Dal skole;Frogn;59.7448728;10.6974616
Drøbak Montessori barneskole AS;Frogn;59.6630543;10.634973
Drøbak skole;Frogn;59.6672255;10.6347553
Dyrløkkeåsen skole;Frogn;59.6674657;10.6556839
Heer skole;Frogn;59.6835312;10.6628232
Sogsti skole;Frogn;59.6545812;10.6465293
Gjerdrum barneskole;Gjerdrum;60.0709621;11.0380711
Veståsen skole;Gjerdrum;60.0833663;10.9983622
Hurdal skole og kultursenter avd skole;Hurdal;60.43333430000001;11.0688343
Hurdal steinerskole;Hurdal;60.4085572;11.0510112
Bergerbakken skole;Jevnaker;60.2384093;10.3549972
Toso skole;Jevnaker;60.2378267;10.4247958
Asak skole;Lillestrøm;59.9930604;11.108926
Blaker skole;Lillestrøm;59.9904606;11.3721399
Brånås skole;Lillestrøm;59.9980929;11.0228659
Dalen skole;Lillestrøm;59.8762306;11.218963
Frogner skole;Lillestrøm;60.0254365;11.103104
Frydenlund skole og ressurssenter;Lillestrøm;59.9507395;11.0139051
Garderåsen skole;Lillestrøm;59.9422593;11.1535736
Gjellerås skole;Lillestrøm;59.9662106;11.0001965
Hovinhøgda skole;Lillestrøm;59.9321862;11.1419808
Kjeller skole;Lillestrøm;59.9742877;11.0399084
Kjellervolla skole;Lillestrøm;59.9649947;11.0442783
Oks friskole Sti;Lillestrøm;59.9814731;11.0146295
Riddersand skole;Lillestrøm;59.917226;11.169982
Sagdalen skole;Lillestrøm;59.950985;11.011879
Skjetten skole;Lillestrøm;59.9599672;10.9966942
Sten-Tærud skole;Lillestrøm;59.9955063;11.0405668
Sørum skole;Lillestrøm;60.0107612;11.236591
Sørumsand skole;Lillestrøm;59.979004;11.2334026
Vesterskaun skole;Lillestrøm;60.0214556;11.1654336
Vigernes skole;Lillestrøm;59.9551457;11.0717551
Volla skole;Lillestrøm;59.9650925;11.0441717
Åsenhagen skole;Lillestrøm;60.0088209;11.033627
Grua skole;Lunner;60.2586759;10.6605932
Harestua skole;Lunner;60.2110977;10.7130379
Lunner barneskole;Lunner;60.2966283;10.5577044
Benterud skole;Ringerike;60.159879;10.249777
Finstad skole;Nordre Follo;59.7158004;10.8220352
Fjellhamar skole;Lørenskog;59.9385768;10.9781045
Kurland skole;Lørenskog;59.9331299;11.0182876
Luhr skole;Lørenskog;59.9434059;10.9554905
Lørenskog friskole;Lørenskog;59.931378;10.929107
Rasta skole;Lørenskog;59.920513;10.938593
Rudolf steinerskolen Lørenskog Sti;Lørenskog;59.9131554;10.9383158
Solheim skole;Lørenskog;59.9299351;10.9542929
Åsen skole;Ringsaker;61.026777;10.753892
Eltonåsen skole;Nannestad;60.13167;11.014821
Kringler-Slattum skole;Nannestad;60.1713182;10.9951456
Maura skole;Nannestad;60.257005;11.04067
Preståsen skole;Nannestad;60.222015;11.026929
Auli skole;Nes;60.035082;11.360623
Fenstad skole;Nes;60.2156359;11.4020068
Fjellfoten skole;Nes;60.093182;11.474796
Framtun skole;Nes;60.060872;11.409578
Hoppensprett Akademiet Brårud AS;Nes;60.2088577;11.3323299
Neskollen skole;Nes;60.125442;11.3394039
Romerike International School Sti;Nes;60.12736080000001;11.3380797
Skogbygda skole;Nes;60.2283522;11.5155903
Østgård skole;Nes;60.120193;11.530076
Årnes skole;Nes;60.129706;11.476634
Berger skole;Rendalen;61.89333;11.076386
Bjørnemyr skole;Nesodden;59.8286715;10.6412046
Fjellstrand skole;Nesodden;59.7964325;10.6228268
Jaer skole;Nesodden;59.7906901;10.6901685
Myklerud skole;Nesodden;59.7465612;10.6138539
Nesoddtangen skole;Nesodden;59.854107;10.665036
Rudolf steinerskolen stiftelsen avd Undervisning;Nesodden;59.80428189999999;10.6381967
Elvetangen skole;Nittedal;60.1123359;10.8483702
Holumskogen skole;Nittedal;59.98366;10.938499
Rotnes skole;Nittedal;60.055015;10.873204
Slattum skole;Nittedal;60.0095081;10.9162318
Sørli skole;Nittedal;60.0580758;10.8526188
Ulverud skole;Nittedal;59.9962577;10.9211237
Bøleråsen skole;Nordre Follo;59.763816;10.856641
Finstad skole;Nordre Follo;59.7158004;10.8220352
Follo barne- og ungdomsskole;Nordre Follo;59.7659528;10.8440732
Greverud skole;Nordre Follo;59.768128;10.811089
Hans Nielsen Hauges grunnskole Follo AS;Nordre Follo;59.73520579999999;10.9082107
Hebekk skole;Nordre Follo;59.7251426;10.832854
Kolbotn skole;Nordre Follo;59.8126987;10.803732
Kråkstad skole;Nordre Follo;59.6777853;10.8856734
Langhus skole;Nordre Follo;59.7475074;10.8388317
Siggerud skole;Nordre Follo;59.7905422;10.8894795
Ski skole;Nordre Follo;59.7204986;10.8445851
Sofiemyr skole Holbergsvei;Nordre Follo;59.797734;10.8143635
Tårnåsen skole;Nordre Follo;59.8133221;10.8218247
Vassbonn skole;Nordre Follo;59.8116387;10.7851018
Vevelstadåsen skole;Nordre Follo;59.756978;10.8485339
Østli skole;Nordre Follo;59.7822257;10.8061144
Blystadlia skole;Rælingen;59.93098;11.0407883
Fjerdingby skole og Ressursavdeling;Rælingen;59.9262051;11.0636737
Løvenstad skole;Rælingen;59.9363659;11.0268006
Nordby skole;Ås;59.724593;10.762042
Rud skole;Rælingen;59.945426;11.0425244
Smestad skole;Oslo;59.9327026;10.6826142
Algarheim skole;Ullensaker;60.1449695;11.249831
Bakke skole;Ullensaker;60.069306;11.1316971
Borgen skole;Ullensaker;60.098577;11.220049
Døli skole;Ullensaker;60.1377055;11.1678273
Gystadmarka skole;Ullensaker;60.152274;11.191579
Hovin skole;Indre Østfold;59.6234244;11.0799735
Jessheim skole og ressurssenter;Ullensaker;60.1473289;11.1738241
Mogreina skole;Ullensaker;60.2281526;11.1662085
Nordkisa skole;Ullensaker;60.190056;11.259017
Skogmo skole;Ullensaker;60.1376293;11.2011916
Åreppen skole;Ullensaker;60.08626;11.131884
Bjørlien skole;Vestby;59.5980723;10.7071265
Brevik skole;Vestby;59.5040925;10.6912817
Hølen skole;Vestby;59.5419825;10.7382482
Son skole;Vestby;59.519704;10.7005968
Vestby skole;Vestby;59.5968072;10.7569116
Brønnerud skole;Ås;59.6645457;10.7512528
Nordby skole;Ås;59.724593;10.762042
Rustad skole;Oslo;59.8714475;10.8391353
Sjøskogen skole;Ås;59.7416273;10.7718757
Solberg skole;Drammen;59.763357;10.077614
Steinerskolen i Ås;Ås;59.6865617;10.8116304
Åsgård skole;Ås;59.6637337;10.7866962
Akademiet realfagsskole Drammen AS;Drammen;59.74860529999999;10.1719843
Aronsløkka skole;Drammen;59.7624067;10.1289493
Bragernes skole;Drammen;59.7485795;10.2260466
Brandengen skole;Drammen;59.7292059;10.2227334
Danvik skole;Drammen;59.7351845;10.1929065
Fjell skole;Drammen;59.7197261;10.2238158
Gulskogen skole;Drammen;59.73999;10.17048
Hallermoen skole;Drammen;59.7283256;10.1467357
Konnerud skole;Drammen;59.7217704;10.133261
Krokstad skole;Drammen;59.758275;10.0004039
Mjøndalen skole;Drammen;59.7477459;10.0124481
Norlights montessoriskole Drammen AS;Drammen;59.7397994;10.1809964
Rosendal skole;Drammen;59.7501414;10.0259396
Rødskog skole;Drammen;59.7450104;10.1598414
Skoger skole;Drammen;59.6852526;10.2509535
Solberg skole;Drammen;59.763357;10.077614
Steinberg skole;Drammen;59.758595;9.9725525
Stenseth skole;Drammen;59.760384;10.035932
Tangen skole;Stange;60.6166324;11.2590873
Tømmerås skole;Drammen;59.605797;10.402626
Vestbygda skole;Drammen;59.6959739;10.1662574
Øren skole;Drammen;59.7524187;10.1693938
Åsen skole;Ringsaker;61.026777;10.753892
Åskollen skole;Drammen;59.7134237;10.2604475
Åssiden skole;Drammen;59.752116;10.144363
Flesberg skole;Flesberg;59.8385947;9.5721763
Flå skole;Melhus;63.196733;10.316501
Gol skule;Gol;60.7052273;8.9369401
Hemsedal skole;Hemsedal;60.862643;8.561334
Geilo barne- og ungdomsskole;Hol;60.53399;8.21917
Hallingskarvet skole;Hol;60.6154819;8.2980795
Røyse skole;Hole;60.0915234;10.2196871
Sundvollen oppvekstsenter Avdeling skole;Hole;60.05866199999999;10.312644
Tyrifjord barne- og ungdomsskole;Hole;60.068448;10.171658
Vik skole;Sømna;65.313092;12.1685992
Efteløt skole;Kongsberg;59.550077;9.811701
Gamlegrendåsen skole;Kongsberg;59.6507825;9.664883
Hvittingfoss barne- og ungdomsskole;Kongsberg;59.489087;10.00927
Kongsberg steinerskole AS;Kongsberg;59.6305663;9.7198321
Kongsgårdmoen skole;Kongsberg;59.6270015;9.6470317
Madsebakken skole;Kongsberg;59.668946;9.673686
Raumyr skole;Kongsberg;59.675182;9.654772
Skavanger skole;Kongsberg;59.6820409;9.6281613
Stiftelsen Kongsberg International School;Kongsberg;59.67596069999999;9.642636099999999
Wennersborg skole;Kongsberg;59.6532015;9.6398211
Krødsherad skole;Krødsherad;60.1241455;9.7871805
Egge skole;Lier;59.8142403;10.2137001
Gullaug skole;Lier;59.7510794;10.2827686
Hallingstad skole;Lier;59.810284;10.2696538
Hegg skole;Lier;59.7827027;10.243788
Heia skole;Lier;59.8210699;10.3290309
Hennummarka skole;Lier;59.8213502;10.2799383
Høvik skole;Lier;59.760162;10.2396001
Oddevall skole;Lier;59.862389;10.218061
Sylling skole;Lier;59.89162;10.292531
Buskerud skole;Modum;59.896305;9.889189
Enger skole;Modum;59.891921;9.927209
Stalsberg skole;Modum;59.922573;9.963959
Sysle skole;Modum;59.9917586;9.9157845
Vikersund skole;Modum;59.9734617;9.9926433
Nesbyen skole;Nesbyen;60.5680861;9.1027428
Rødberg skole;Nore og Uvdal;60.26882;8.944285
Uvdal skole;Nore og Uvdal;60.270674;8.744945
Benterud skole;Ringerike;60.159879;10.249777
Discovery International School AS;Ringerike;60.2054315;10.3682193
Hallingby skole;Ringerike;60.2687919;10.1792931
Helgerud skole;Ringerike;60.1849;10.1955
Nes skole;Ringerike;60.565726;9.986816
Ringerike Montessori AS;Ringerike;60.13550770000001;10.1666881
Ringerike steinerskole Sti;Ringerike;60.20940689999999;10.3760064
Sokna skole;Ringerike;60.2426759;9.9310896
Steinsfjorden montessoriskole SA;Ringerike;60.1290624;10.3519346
Tyristrand skole;Ringerike;60.085273;10.102012
Ullerål skole;Ringerike;60.18133;10.267012
Vang skole;Ringerike;60.1744603;10.3226608
Veien skole;Ringerike;60.1755077;10.2328555
Veggli skole;Rollag;60.041426;9.150187
Eggedal skole;Sigdal;60.2399523;9.3563832
Nerstad skole;Sigdal;60.0019706;9.7366144
Prestfoss skole;Sigdal;60.041829;9.631114
Darbu barneskole;Øvre Eiker;59.7000285;9.8000786
Hokksund barneskole;Øvre Eiker;59.766659;9.9261805
Ormåsen barneskole;Øvre Eiker;59.7545665;9.8223181
Røren barneskole;Øvre Eiker;59.7706532;9.8797307
Skotselv skole;Øvre Eiker;59.8493134;9.8799913
Vestfossen barneskole;Øvre Eiker;59.729771;9.868933
Nedre-Ål skule;Ål;60.628525;8.550031
Nordbygdene skule;Ål;60.70158;8.486949
Torpo skule;Ål;60.665291;8.721256
Alta Kristne grunnskole SA;Alta;69.9677541;23.3515328
Bossekop skole;Alta;69.9601438;23.2423801
Elvebakken skole;Alta;69.9710749;23.3647513
Gakori skole;Alta;69.9520893;23.2214782
Haldde montessoriskole SA;Alta;69.9313348;23.0178681
Kaiskuru skole;Alta;69.9560231;23.3732165
Komsa skole;Alta;69.973064;23.269944
Leirbotn skole;Alta;70.120693;23.394276
Rafsbotn skole;Alta;70.0187733;23.5296252
Saga skole;Alta;69.9626011;23.4273394
Talvik skole;Alta;70.0419009;22.9433702
Tverrelvdalen skole;Alta;69.932999;23.432776
Øvre Alta skole;Alta;69.9273941;23.2660226
Berlevåg skole;Berlevåg;70.8610772;29.0918586
