EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;56;47;50;;
Asdal skole;Arendal;50;46;51;;
Birkenlund skole;Arendal;50;46;45;;
Eydehavn skole;Arendal;50;46;49;;
Flosta skole;Arendal;55;53;53;;
Hisøy skole 1-10 Skoler;Arendal;51;54;53;;
Moltemyr skole;Arendal;47;39;43;;
Myra skole;Arendal;50;45;45;;
Nedenes skole;Arendal;52;49;52;;
Nesheim skole;Arendal;50;43;49;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;52;51;52;;
Rykene oppvekstsenter avd skole;Arendal;49;50;55;;
Sandnes skole;Arendal;49;45;46;;
St. Franciskus skole;Arendal;53;50;50;;
Stiftelsen steinerskolen i Arendal;Arendal;50;50;50;;
Stinta skole barne- og Ungdomstrinnet;Arendal;52;52;51;;
Strømmen oppvekstsenter avd skole;Arendal;61;55;55;;
Stuenes skole barne- og Ungdomstrinn;Arendal;48;45;43;;
Birkeland skole;Birkenes;45;45;45;;
Engesland skole;Birkenes;*;*;*;;
Herefoss skole;Birkenes;*;*;*;;
Bygland skule;Bygland;*;*;*;;
Byglandsfjord skule;Bygland;*;*;*;;
Bykle barne- og ungdomsskule;Bykle;*;*;*;;
Fjellgardane skule;Bykle;*;*;*;;
Evje barneskule;Evje og Hornnes;51;47;54;;
Hornnes barneskule;Evje og Hornnes;47;45;46;;
Borhaug skole;Farsund;52;50;52;;
Farsund barneskole;Farsund;49;47;52;;
Vanse skole;Farsund;49;46;46;;
Gyland skole;Flekkefjord;*;*;*;;
Hidra skole;Flekkefjord;*;*;*;;
Sira skole;Flekkefjord;*;*;51;;
Sunde skole;Flekkefjord;51;49;50;;
Froland barneskole;Froland;*;*;*;;
Mykland skole;Froland;*;*;*;;
Abel skole;Gjerstad;50;45;46;;
Eide skole;Grimstad;*;*;*;;
Fevik skole;Grimstad;52;49;48;;
Fjære barneskole;Grimstad;49;47;*;;
Frivoll skole;Grimstad;*;*;51;;
Hesnes skole montessoriskolen i Grimstad;Grimstad;*;*;*;;
Holviga barneskole;Grimstad;50;51;51;;
Jappa skole;Grimstad;49;47;46;;
Landvik skole;Grimstad;48;49;48;;
Eiken skule;Hægebostad;*;*;*;;
Kollemo skule;Hægebostad;*;*;*;;
Iveland skole;Iveland;46;50;51;;
Brattbakken skole;Kristiansand;47;45;45;;
Fagerholt skole;Kristiansand;51;51;53;;
Finsland skole;Kristiansand;45;48;42;;
Flekkerøy skole;Kristiansand;48;52;50;;
Hellemyr skole;Kristiansand;50;48;49;;
Justvik skole;Kristiansand;49;49;51;;
Karl Johans Minne skole;Kristiansand;52;50;52;;
Karuss skole;Kristiansand;52;51;46;;
Kringsjå skole;Kristiansand;53;52;51;;
Kristiansand Internasjonale skole;Kristiansand;51;*;*;;
Krossen skole;Kristiansand;54;47;50;;
Krossen skole - Kompetanse;Kristiansand;;;;;
Langenes skole;Kristiansand;41;41;42;;
Lovisenlund skole;Kristiansand;50;52;54;;
Lunde skole;Kristiansand;52;50;53;;
Mosby oppvekssenter skole;Kristiansand;52;48;47;;
Nygård skole;Kristiansand;47;45;43;;
Oasen skole Birkelid AS;Kristiansand;49;50;48;;
Oasen skole Strømme AS grunnskole;Kristiansand;52;53;56;;
Oasen skole Vågsbygd AS;Kristiansand;*;*;*;;
Odderhei skole;Kristiansand;51;50;51;;
Presteheia skole;Kristiansand;50;53;54;;
Rosseland skole;Kristiansand;46;*;48;;
Samfundets skole Sentrum;Kristiansand;45;54;54;;
Sjøstrand skole;Kristiansand;52;50;51;;
Slettheia skole;Kristiansand;51;49;46;;
Solholmen skole;Kristiansand;55;52;52;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Strømme skole;Kristiansand;49;51;51;;
Tordenskjoldsgate skole;Kristiansand;60;57;*;;
Torridal skole;Kristiansand;48;52;52;;
Tunballen skole;Kristiansand;50;47;46;;
Vardåsen skole;Kristiansand;52;53;51;;
Ve skole;Kristiansand;53;53;47;;
Voiebyen skole;Kristiansand;49;46;45;;
Vågsbygd skole;Kristiansand;51;49;48;;
Wilds Minne skole;Kristiansand;50;49;49;;
Austerdalen skole;Kvinesdal;47;47;*;;
Feda skole;Kvinesdal;*;*;*;;
Kvinlog skule;Kvinesdal;*;*;*;;
Liknes skole;Kvinesdal;51;48;51;;
Vesterdalen skole;Kvinesdal;*;*;*;;
Justøy skole - montessoriskolen i Lillesand Sti;Lillesand;52;53;53;;
Lillesand kommune - Borkedalen skole;Lillesand;48;49;50;;
Lillesand kommune - Brentemoen skole;Lillesand;49;49;49;;
Lillesand kommune - Høvåg skole;Lillesand;51;50;52;;
Lillesand kommune - Tingsaker skole;Lillesand;48;46;47;;
Bjelland skole;Lindesnes;*;*;*;;
Frøysland skole;Lindesnes;44;43;44;;
Furulunden skole;Lindesnes;48;49;49;;
Holum skole;Lindesnes;52;48;51;;
Ime skole;Lindesnes;51;48;50;;
Laudal skole;Lindesnes;*;*;*;;
Nyplass skole;Lindesnes;47;46;50;;
Oasen skole Mandal AS;Lindesnes;*;*;*;;
Spangereid skole;Lindesnes;50;49;56;;
Vigmostad skole;Lindesnes;*;*;*;;
Øyslebø skole;Lindesnes;*;*;*;;
Berge barneskole;Lyngdal;49;49;47;;
