EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;57;44;48;;
Asdal skole;Arendal;49;49;49;;
Birkenlund skole;Arendal;48;47;44;;
Eydehavn skole;Arendal;51;48;48;;
Flosta skole;Arendal;52;49;51;;
Hisøy skole 1-10 Skoler;Arendal;49;47;47;;
Moltemyr skole;Arendal;44;45;44;;
Myra skole;Arendal;48;47;46;;
Nedenes skole;Arendal;51;48;50;;
Nesheim skole;Arendal;52;53;60;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;47;50;48;;
Rykene oppvekstsenter avd skole;Arendal;50;47;47;;
Sandnes skole;Arendal;48;48;45;;
St. Franciskus skole;Arendal;51;52;47;;
Stiftelsen steinerskolen i Arendal;Arendal;48;50;46;;
Stinta skole barne- og Ungdomstrinnet;Arendal;50;48;44;;
Strømmen oppvekstsenter avd skole;Arendal;45;43;43;;
Stuenes skole barne- og Ungdomstrinn;Arendal;45;44;44;;
Birkeland skole;Birkenes;47;48;48;;
Engesland skole;Birkenes;*;*;*;;
Herefoss skole;Birkenes;*;*;*;;
Bygland skule;Bygland;*;*;*;;
Byglandsfjord skule;Bygland;*;*;*;;
Bykle barne- og ungdomsskule;Bykle;*;*;*;;
Fjellgardane skule;Bykle;*;*;*;;
Evje barneskule;Evje og Hornnes;51;47;48;;
Hornnes barneskule;Evje og Hornnes;47;42;51;;
Borhaug skole;Farsund;52;48;51;;
Farsund barneskole;Farsund;49;46;50;;
Vanse skole;Farsund;51;46;54;;
Gyland skole;Flekkefjord;*;*;*;;
Hidra skole;Flekkefjord;*;*;*;;
Sira skole;Flekkefjord;*;*;*;;
Sunde skole;Flekkefjord;51;47;48;;
Froland barneskole;Froland;*;*;*;;
Mykland skole;Froland;*;*;*;;
Abel skole;Gjerstad;48;53;50;;
Eide skole;Grimstad;55;56;*;;
Fevik skole;Grimstad;51;51;50;;
Fjære barneskole;Grimstad;49;50;51;;
Frivoll skole;Grimstad;46;52;49;;
Hesnes skole montessoriskolen i Grimstad;Grimstad;49;51;*;;
Holviga barneskole;Grimstad;46;50;51;;
Jappa skole;Grimstad;49;48;*;;
Landvik skole;Grimstad;48;49;51;;
Eiken skule;Hægebostad;45;48;56;;
Kollemo skule;Hægebostad;47;52;50;;
Iveland skole;Iveland;47;49;43;;
Brattbakken skole;Kristiansand;49;47;49;;
Fagerholt skole;Kristiansand;50;50;50;;
Finsland skole;Kristiansand;52;*;*;;
Flekkerøy skole;Kristiansand;48;51;55;;
Hellemyr skole;Kristiansand;50;46;48;;
Hellemyr skole Kompetanse;Kristiansand;;;;;
Justvik skole;Kristiansand;48;46;46;;
Karl Johans Minne skole;Kristiansand;49;45;48;;
Karuss skole;Kristiansand;54;49;51;;
Kringsjå skole;Kristiansand;55;54;56;;
Kristiansand Internasjonale skole;Kristiansand;53;*;*;;
Krossen skole;Kristiansand;55;52;50;;
Krossen skole - Kompetanse;Kristiansand;;;;;
Langenes skole;Kristiansand;51;50;50;;
Lovisenlund skole;Kristiansand;54;53;58;;
Lunde skole;Kristiansand;48;45;46;;
Mosby oppvekssenter skole;Kristiansand;54;51;50;;
Nygård skole;Kristiansand;50;49;49;;
Oasen skole Birkelid AS;Kristiansand;53;54;49;;
Oasen skole Strømme AS grunnskole;Kristiansand;*;*;*;;
Odderhei skole;Kristiansand;49;50;51;;
Presteheia skole;Kristiansand;47;53;52;;
Rosseland skole;Kristiansand;49;43;44;;
Samfundets skole Sentrum;Kristiansand;47;51;51;;
Sjøstrand skole;Kristiansand;56;54;54;;
Slettheia skole;Kristiansand;49;45;45;;
Solholmen skole;Kristiansand;53;54;55;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Strømme skole;Kristiansand;51;51;53;;
Tordenskjoldsgate skole;Kristiansand;49;49;50;;
Torridal skole;Kristiansand;50;55;56;;
Tunballen skole;Kristiansand;47;45;50;;
Vardåsen skole;Kristiansand;50;51;50;;
Ve skole;Kristiansand;48;44;46;;
Voiebyen skole;Kristiansand;47;46;48;;
Vågsbygd skole;Kristiansand;53;53;55;;
Wilds Minne skole;Kristiansand;49;50;49;;
Austerdalen skole;Kvinesdal;43;44;48;;
Feda skole;Kvinesdal;53;53;49;;
Kvinlog skule;Kvinesdal;*;*;*;;
Liknes skole;Kvinesdal;47;47;52;;
Vesterdalen skole;Kvinesdal;*;*;*;;
Justøy skole - montessoriskolen i Lillesand Sti;Lillesand;45;48;50;;
Lillesand kommune - Borkedalen skole;Lillesand;53;52;51;;
Lillesand kommune - Brentemoen skole;Lillesand;48;47;48;;
Lillesand kommune - Høvåg skole;Lillesand;44;50;48;;
Lillesand kommune - Tingsaker skole;Lillesand;52;50;51;;
Bjelland skole;Lindesnes;*;*;*;;
Frøysland skole;Lindesnes;50;47;51;;
Furulunden skole;Lindesnes;52;52;51;;
Holum skole;Lindesnes;48;46;47;;
Ime skole;Lindesnes;51;50;50;;
Laudal skole;Lindesnes;*;*;*;;
Nyplass skole;Lindesnes;43;48;45;;
Oasen skole Mandal AS;Lindesnes;*;*;*;;
Spangereid skole;Lindesnes;50;47;50;;
Vigmostad skole;Lindesnes;*;*;*;;
Øyslebø skole;Lindesnes;54;53;55;;
Berge barneskole;Lyngdal;48;45;48;;
Byremo barneskule;Lyngdal;*;44;46;;
Konsmo skole;Lyngdal;*;*;*;;
Kvås skole;Lyngdal;*;*;*;;
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;*;49;46;;
Å barneskole;Lyngdal;49;49;48;;
Årnes skole;Lyngdal;49;51;48;;
Hope oppvekstsenter Avdeling skole;Risør;*;*;*;;
Risør barneskole;Risør;51;53;53;;
Søndeled skole;Risør;*;*;*;;
Sinnes skule;Sirdal;*;*;*;;
Tonstad skule;Sirdal;*;*;*;;
Tvedestrand barneskole;Tvedestrand;49;48;46;;
Valle skule;Valle;*;*;*;;
Vegårshei skule;Vegårshei;52;46;52;;
Eikeland oppvekstsenter Avdeling skole;Vennesla;*;*;*;;
Kvarstein skole;Vennesla;*;*;*;;
Moseidmoen skole;Vennesla;49;47;50;;
Oasen skole Vennesla AS;Vennesla;*;*;*;;
Skarpengland skole;Vennesla;51;51;53;;
Vennesla skole;Vennesla;48;47;50;;
Åmli skule;Åmli;47;48;49;;
Åseral barne- og ungdomsskule;Åseral;*;*;*;;
Alvdal barneskole;Alvdal;47;50;48;;
Dovre barneskole;Dovre;45;45;48;;
Eidskog montessoriskole SA;Eidskog;*;*;*;;
Magnor skole;Eidskog;*;*;*;;
Skotterud skole;Eidskog;*;*;*;;
Elverum kommune - Ydalir skole;Elverum;52;50;47;;
Frydenlund skole;Elverum;54;57;58;;
Hanstad skole;Elverum;48;46;46;;
Hernes skole;Elverum;*;*;*;;
Lillemoen skole;Elverum;46;53;54;;
Søbakken skole;Elverum;53;51;48;;
Sørskogbygda skole;Elverum;*;*;*;;
Vestad skole;Elverum;53;49;53;;
Engerdal barne- og ungdomsskole;Engerdal;*;*;*;;
Etnedal skule;Etnedal;50;53;*;;
Folldal skole;Folldal;49;52;54;;
Fjerdum skole;Gausdal;49;53;50;;
Follebu skole;Gausdal;50;46;46;;
Forset skole;Gausdal;41;48;43;;
Blomhaug skole;Gjøvik;51;50;52;;
Fredheim skole;Gjøvik;54;53;52;;
Gjøvik skole;Gjøvik;50;46;49;;
Grande skole;Gjøvik;50;48;*;;
Kopperud skole;Gjøvik;50;51;51;;
Lundstein skole;Gjøvik;;;;;
Redalen skole;Gjøvik;*;*;*;;
Skrinnhagen skole;Gjøvik;47;47;46;;
Snertingdal skole;Gjøvik;*;*;48;;
Steinerskolen Gjøvik-Toten;Gjøvik;*;*;*;;
Vindingstad skole;Gjøvik;53;50;47;;
Bjoneroa skole;Gran;*;*;*;;
Brandbu barneskole;Gran;50;52;49;;
Fredheim skole;Gran;49;53;53;;
Gran kommune Grymyr oppvekstsenter Skole;Gran;*;*;*;;
Jaren skole;Gran;48;44;45;;
Moen skole;Gran;50;51;50;;
Sanne skole;Gran;*;*;*;;
Trintom skole;Gran;49;51;51;;
Grue barne- og ungdomsskole;Grue;48;48;47;;
Greveløkka skole;Hamar;52;51;50;;
Hamar Montessori skole Sti;Hamar;*;*;*;;
Ingeberg skole;Hamar;51;55;57;;
Lovisenberg skole;Hamar;*;*;*;;
Lunden skole;Hamar;*;*;*;;
Prestrud skole;Hamar;49;49;49;;
Ridabu skole;Hamar;49;51;51;;
Rollsløkken skole;Hamar;49;50;48;;
Solvang skole;Hamar;53;52;55;;
Storhamar skole;Hamar;53;52;51;;
Austmarka barne- og ungdomsskole;Kongsvinger;*;*;*;;
Brandval skole;Kongsvinger;53;55;54;;
Finnskogen montessoriskole Ba;Kongsvinger;*;*;*;;
Kongsvinger montessoriskole SA;Kongsvinger;*;*;*;;
Langeland skole;Kongsvinger;53;51;49;;
Marikollen skole;Kongsvinger;*;*;*;;
Roverud skole;Kongsvinger;53;54;50;;
Vennersberg skole;Kongsvinger;48;48;45;;
Lesja skule;Lesja;*;*;*;;
Lesjaskog skule;Lesja;*;*;*;;
Engesvea barne- og ungdomsskole;Lillehammer;*;*;*;;
Hammartun skole;Lillehammer;50;49;46;;
Jørstadmoen skole;Lillehammer;48;45;48;;
Nordre Ål skole;Lillehammer;50;52;49;;
Røyslimoen skole;Lillehammer;45;51;49;;
Stiftelsen Lillehammer steinerskole;Lillehammer;*;*;*;;
Søre Ål barneskole;Lillehammer;51;55;54;;
Vingar skole;Lillehammer;49;51;51;;
Vingrom skole;Lillehammer;48;49;46;;
Loar skule;Lom;46;49;49;;
Hedemarken friskole;Løten;45;52;49;;
Jønsrud skole;Løten;*;*;*;;
Lund skole;Løten;*;*;*;;
Østvang skole;Løten;49;49;46;;
Ådalsbruk skole;Løten;60;64;68;;
Nord-Aurdal barneskole;Nord-Aurdal;48;48;46;;
Valdres montessoriskule SA;Nord-Aurdal;43;46;45;;
Barhaug skole;Nord-Fron;49;44;47;;
Kvam skole;Nord-Fron;*;*;*;;
Sødorp skole;Nord-Fron;*;*;*;;
Garvik skole;Nord-Odal;46;48;43;;
Sand sentralskole;Nord-Odal;47;49;51;;
Nordre Land kommune 0-24 Torpa barne- og ungdomsskole;Nordre Land;47;45;49;;
Nordre Land kommune Dokka barne- og ungdomsskole;Nordre Land;50;47;48;;
Os skole;Os;45;44;46;;
Berger skole;Rendalen;*;*;*;;
Fagertun skole;Rendalen;*;*;*;;
Fåvang skole;Ringebu;48;48;49;;
Ringebu skole;Ringebu;*;*;*;;
Venabygd montessoriskole;Ringebu;*;*;*;;
Brøttum barne- og ungdomsskole;Ringsaker;46;52;51;;
Fagerlund skole;Ringsaker;52;51;51;;
Gaupen skole;Ringsaker;49;51;47;;
Hempa skole;Ringsaker;49;47;58;;
Kirkekretsen skole;Ringsaker;45;47;44;;
Kirkenær skole;Ringsaker;51;*;*;;
Kylstad skole;Ringsaker;53;53;54;;
Lismarka skole;Ringsaker;*;49;59;;
Moelv skole;Ringsaker;50;47;49;;
Mørkved skole;Ringsaker;54;52;50;;
Nes barneskole;Ringsaker;49;50;48;;
Stavsberg skole;Ringsaker;54;57;49;;
Åsen skole;Ringsaker;*;*;*;;
Heidal skule;Sel;*;*;*;;
Otta skole;Sel;*;*;*;;
Skjåk barne- og ungdomsskule;Skjåk;47;47;51;;
Arstad skole;Stange;47;50;49;;
Breidablikk skole;Stange;49;49;50;;
Espa skole Avd skole;Stange;*;*;*;;
Hoberg skole;Stange;51;50;47;;
Solvin skole;Stange;46;49;49;;
Stange skole;Stange;50;49;48;;
Steinerskolen på Hedemarken avd grunnskolen Ottestad;Stange;43;44;43;;
Tangen skole;Stange;52;52;51;;
Vallset skole;Stange;52;52;52;;
Åsbygda skole;Stange;*;*;*;;
Koppang skole;Stor-Elvdal;*;*;54;;
Fryal skole;Søndre Land;*;*;*;;
Land montessoriskole;Søndre Land;*;*;*;;
Odnes skole;Søndre Land;46;48;*;;
Bagn skule;Sør-Aurdal;52;50;48;;
