EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Alvdal barneskole;Alvdal;46;49;50;;
Dovre barneskole;Dovre;47;48;48;;
Eidskog montessoriskole SA;Eidskog;*;*;*;;
Magnor skole;Eidskog;*;*;*;;
Skotterud skole;Eidskog;46;51;*;;
Elverum kommune - Ydalir skole;Elverum;52;52;51;;
Frydenlund skole;Elverum;54;53;50;;
Hanstad skole;Elverum;47;45;45;;
Hernes skole;Elverum;49;50;49;;
Lillemoen skole;Elverum;*;*;*;;
Søbakken skole;Elverum;46;49;50;;
Sørskogbygda skole;Elverum;*;*;*;;
Vestad skole;Elverum;53;51;50;;
Engerdal barne- og ungdomsskole;Engerdal;*;*;*;;
Etnedal skule;Etnedal;52;47;48;;
Folldal skole;Folldal;45;51;51;;
Fjerdum skole;Gausdal;51;53;52;;
Follebu skole;Gausdal;48;52;50;;
Forset skole;Gausdal;43;47;47;;
Blomhaug skole;Gjøvik;50;45;;;
Fredheim skole;Gjøvik;53;53;;;
Gjøvik skole;Gjøvik;52;47;46;;
Grande skole;Gjøvik;45;50;50;;
Kopperud skole;Gjøvik;;;;;
Lundstein skole;Gjøvik;*;*;*;;
Redalen skole;Gjøvik;*;*;*;;
Skrinnhagen skole;Gjøvik;47;49;49;;
Snertingdal skole;Gjøvik;45;44;43;;
Steinerskolen Gjøvik-Toten;Gjøvik;*;*;*;;
Vindingstad skole;Gjøvik;49;50;50;;
Bjoneroa skole;Gran;*;*;*;;
Brandbu barneskole;Gran;51;51;50;;
Fredheim skole;Gran;*;*;*;;
Gran kommune Grymyr oppvekstsenter Skole;Gran;*;*;*;;
Jaren skole;Gran;51;52;48;;
Moen skole;Gran;48;51;52;;
Sanne skole;Gran;56;55;56;;
Trintom skole;Gran;47;51;49;;
Grue barne- og ungdomsskole;Grue;44;48;44;;
Greveløkka skole;Hamar;52;56;50;;
Hamar Montessori skole Sti;Hamar;*;*;41;;
Ingeberg skole;Hamar;*;*;62;;
Lovisenberg skole;Hamar;*;*;51;;
Lunden skole;Hamar;47;49;50;;
Prestrud skole;Hamar;50;52;51;;
Ridabu skole;Hamar;47;48;45;;
Rollsløkken skole;Hamar;52;48;47;;
Solvang skole;Hamar;51;51;50;;
Storhamar skole;Hamar;49;53;55;;
Austmarka barne- og ungdomsskole;Kongsvinger;47;45;45;;
Brandval skole;Kongsvinger;45;48;45;;
Finnskogen montessoriskole Ba;Kongsvinger;*;*;*;;
Kongsvinger montessoriskole SA;Kongsvinger;*;*;*;;
Langeland skole;Kongsvinger;51;50;50;;
Marikollen skole;Kongsvinger;50;51;50;;
Roverud skole;Kongsvinger;48;47;42;;
Vennersberg skole;Kongsvinger;49;46;47;;
Lesja skule;Lesja;*;*;*;;
Lesjaskog skule;Lesja;*;*;*;;
Engesvea barne- og ungdomsskole;Lillehammer;*;*;*;;
Hammartun skole;Lillehammer;54;53;50;;
Jørstadmoen skole;Lillehammer;48;47;42;;
Nordre Ål skole;Lillehammer;49;55;54;;
Røyslimoen skole;Lillehammer;51;54;51;;
Stiftelsen Lillehammer steinerskole;Lillehammer;*;*;*;;
Søre Ål barneskole;Lillehammer;49;54;56;;
Vingar skole;Lillehammer;43;48;47;;
Vingrom skole;Lillehammer;42;49;51;;
Loar skule;Lom;43;45;46;;
Hedemarken friskole;Løten;48;49;46;;
Jønsrud skole;Løten;52;59;60;;
Lund skole;Løten;43;50;44;;
Østvang skole;Løten;46;47;48;;
Ådalsbruk skole;Løten;42;40;45;;
Nord-Aurdal barneskole;Nord-Aurdal;*;*;*;;
Valdres montessoriskule SA;Nord-Aurdal;*;*;*;;
Barhaug skole;Nord-Fron;*;*;*;;
Kvam skole;Nord-Fron;54;46;50;;
Skåbu oppvekstsenter avd skole;Nord-Fron;*;*;*;;
Sødorp skole;Nord-Fron;49;46;*;;
Garvik skole;Nord-Odal;50;51;49;;
Sand sentralskole;Nord-Odal;50;52;52;;
Nordre Land kommune 0-24 Torpa barne- og ungdomsskole;Nordre Land;47;49;53;;
Nordre Land kommune Dokka barne- og ungdomsskole;Nordre Land;48;45;42;;
Dalsbygda skole;Os;*;*;*;;
Os skole;Os;*;*;*;;
Berger skole;Rendalen;*;*;*;;
Fagertun skole;Rendalen;*;*;*;;
Fåvang skole;Ringebu;*;*;*;;
Ringebu skole;Ringebu;*;*;*;;
Venabygd montessoriskole;Ringebu;*;*;*;;
Brøttum barne- og ungdomsskole;Ringsaker;44;46;46;;
Fagerlund skole;Ringsaker;50;50;46;;
Gaupen skole;Ringsaker;45;47;48;;
Hempa skole;Ringsaker;51;47;47;;
Kirkekretsen skole;Ringsaker;49;49;48;;
Kirkenær skole;Ringsaker;49;52;49;;
Kylstad skole;Ringsaker;45;52;54;;
Lismarka skole;Ringsaker;*;*;*;;
Moelv skole;Ringsaker;47;48;48;;
Mørkved skole;Ringsaker;51;50;49;;
Nes barneskole;Ringsaker;46;45;44;;
Stavsberg skole;Ringsaker;51;55;54;;
Åsen skole;Ringsaker;*;*;*;;
Heidal skule;Sel;*;*;*;;
Otta skole;Sel;*;*;*;;
Skjåk barne- og ungdomsskule;Skjåk;*;*;*;;
Arstad skole;Stange;51;54;55;;
Breidablikk skole;Stange;49;53;52;;
Espa skole Avd skole;Stange;*;*;*;;
Hoberg skole;Stange;49;50;49;;
Solvin skole;Stange;54;51;49;;
Stange skole;Stange;51;51;50;;
Steinerskolen på Hedemarken avd grunnskolen Ottestad;Stange;39;44;48;;
Tangen skole;Stange;*;*;*;;
Vallset skole;Stange;48;49;50;;
Åsbygda skole;Stange;46;49;46;;
Koppang skole;Stor-Elvdal;51;51;50;;
Fryal skole;Søndre Land;48;45;43;;
Land montessoriskole;Søndre Land;*;*;*;;
Odnes skole;Søndre Land;*;*;*;;
Bagn skule;Sør-Aurdal;*;*;*;;
Hedalen barne- og ungdomsskole;Sør-Aurdal;*;*;*;;
Harpefoss skule;Sør-Fron;44;46;46;;
Midtbygda og Harpefoss skule;Sør-Fron;46;49;50;;
Glommasvingen skole;Sør-Odal;47;49;46;;
Tolga skole;Tolga;*;*;*;;
Vingelen skole;Tolga;*;*;*;;
Innbygda skole;Trysil;*;*;*;;
Jordet skole;Trysil;53;52;49;;
Trysil montessoriskole SA;Trysil;;;;;
Vestre Trysil skole;Trysil;*;*;*;;
Fåset skole og barnehage avd skole;Tynset;53;50;53;;
Kvikne skole;Tynset;*;*;*;;
Tylldalen skole;Tynset;*;*;*;;
Tynset barneskole;Tynset;50;49;51;;
Vang barne- og ungdomsskule;Vang;46;48;50;;
Vestre Slidre skule;Vestre Slidre;49;52;52;;
Bøverbru skole;Vestre Toten;49;51;56;;
Korta skole;Vestre Toten;49;50;48;;
Raufoss skole;Vestre Toten;51;51;55;;
Reinsvoll skole;Vestre Toten;49;49;47;;
Thune skole;Vestre Toten;42;45;48;;
Lalm skule;Vågå;*;*;*;;
Vågåmo skule;Vågå;*;*;*;;
Våler barne- og ungdomsskole;Våler (Innlandet);43;45;46;;
Hoffsvangen skole;Østre Toten;49;49;46;;
Kapp skole;Østre Toten;53;51;52;;
Kolbu skole;Østre Toten;*;*;*;;
Nordli skole;Østre Toten;52;49;50;;
Stange skole;Østre Toten;*;*;*;;
Toten montessoriskole;Østre Toten;*;*;*;;
Totenviken skole;Østre Toten;47;49;47;;
Vilberg skole;Østre Toten;51;51;53;;
Aurvoll skole;Øyer;46;52;49;;
Solvang skole;Øyer;48;49;49;;
Lidar skule;Øystre Slidre;50;51;44;;
Rogne skule;Øystre Slidre;44;50;51;;
Osen oppvekstsenter Avdeling skole;Åmot;*;*;*;;
Rena skole;Åmot;48;47;47;;
Åmot montessoriskole SA;Åmot;*;*;*;;
Flisa skole;Åsnes;49;47;48;;
Jara skole;Åsnes;*;*;*;;
Solør montessoriskole;Åsnes;*;*;*;;
Sønsterud skole;Åsnes;45;45;43;;
Gossen barne- og ungdomsskole avd skole;Aukra;49;44;43;;
Julsundet skole;Aukra;46;49;46;;
Aure barne- og ungdomsskole;Aure;*;*;*;;
Tustna barne- og ungdomsskole;Aure;*;*;*;;
Bodalen friskole;Averøy;*;*;*;;
Bruhagen barneskole;Averøy;*;*;*;;
Kårvåg barneskole;Averøy;44;46;44;;
Eidsdal skule;Fjord;*;*;*;;
Stordal skule;Fjord;*;*;*;;
Valldal skule;Fjord;51;49;52;;
Giske skule;Giske;54;46;51;;
Godøy skule;Giske;53;51;53;;
Valderøy barneskule;Giske;52;49;50;;
Vigra skule;Giske;51;49;44;;
Angvik skule;Gjemnes;*;*;*;;
Batnfjord skule;Gjemnes;45;43;42;;
Torvikbukt skule SA;Gjemnes;*;*;*;;
Bigset skule;Hareid;*;*;*;;
Brandal friskule;Hareid;*;*;*;;
Hareid skule;Hareid;48;45;53;;
Hjørungavåg skule;Hareid;50;*;*;;
Bergsøy skule;Herøy (Møre og Romsdal);46;44;48;;
Einedalen skule;Herøy (Møre og Romsdal);48;48;49;;
Leikanger skule;Herøy (Møre og Romsdal);*;*;*;;
Moltu skule;Herøy (Møre og Romsdal);*;*;*;;
Møre barne- og ungdomsskule;Herøy (Møre og Romsdal);*;*;*;;
Nerlandsøy skule;Herøy (Møre og Romsdal);50;54;53;;
Stokksund barne- og ungdomsskule;Herøy (Møre og Romsdal);52;49;49;;
Bud skule;Hustadvika;53;47;48;;
Eide barneskole;Hustadvika;50;52;52;;
Haukås skole;Hustadvika;54;51;52;;
Hustad skole;Hustadvika;48;47;46;;
Jendem skole;Hustadvika;49;49;50;;
Lyngstad og Vevang skole;Hustadvika;*;44;47;;
Sylte skule;Hustadvika;*;51;48;;
Tornes skule;Hustadvika;46;49;53;;
Allanengen skole;Kristiansund;49;43;46;;
Bjerkelund skole;Kristiansund;47;49;47;;
Dalabrekka skole;Kristiansund;48;48;46;;
