EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;61;49;50;;
Asdal skole;Arendal;47;45;46;;
Birkenlund skole;Arendal;49;47;46;;
Hisøy skole 1-10 Skoler;Arendal;55;56;56;;
Moltemyr skole;Arendal;48;44;43;;
Nedenes skole;Arendal;49;50;50;;
Roligheden skole Barne-/Ungdomstrinnet;Arendal;53;50;50;;
St. Franciskus skole;Arendal;50;50;45;;
Stiftelsen steinerskolen i Arendal;Arendal;52;47;49;;
Stinta skole barne- og Ungdomstrinnet;Arendal;51;49;49;;
Stuenes skole barne- og Ungdomstrinn;Arendal;50;48;46;;
Engesland skole;Birkenes;*;*;*;;
Valstrand skole;Birkenes;*;*;*;;
Bygland skule;Bygland;53;52;54;;
Bykle barne- og ungdomsskule;Bykle;*;*;*;;
Evje ungdomsskule;Evje og Hornnes;51;51;50;;
Farsund ungdomsskole;Farsund;50;50;51;;
Lista ungdomsskole;Farsund;47;47;47;;
Flekkefjord ungdomsskole;Flekkefjord;48;47;49;;
Froland ungdomsskole;Froland;48;46;46;;
Abel skole;Gjerstad;47;45;43;;
Drottningborg ungdomsskole AS;Grimstad;49;50;49;;
Fevik skole;Grimstad;51;51;50;;
Grimstad ungdomsskole;Grimstad;49;48;49;;
Holviga ungdomsskole;Grimstad;56;54;55;;
Iveland skole;Iveland;49;43;48;;
Finsland skole;Kristiansand;47;47;45;;
Fiskå skole;Kristiansand;49;47;47;;
Grim skole;Kristiansand;50;48;46;;
Haumyrheia skole;Kristiansand;49;47;49;;
Havlimyra skole;Kristiansand;50;48;49;;
Holte skole;Kristiansand;54;53;53;;
Karuss skole;Kristiansand;51;47;46;;
Kristiansand Internasjonale skole;Kristiansand;56;*;*;;
Krossen skole - Kompetanse;Kristiansand;;;;;
Lindebøskauen skole;Kristiansand;48;50;49;;
Møvig skole;Kristiansand;49;45;47;;
Oasen skole Birkelid AS;Kristiansand;51;45;46;;
Oasen skole Strømme AS grunnskole;Kristiansand;47;53;52;;
Oasen skole Vågsbygd AS;Kristiansand;*;*;*;;
Oddemarka skole;Kristiansand;52;50;50;;
Samfundets skole Sentrum;Kristiansand;53;57;53;;
Songdalen skole;Kristiansand;47;46;45;;
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;;
Tangvall skole;Kristiansand;52;50;47;;
Tinntjønn skole;Kristiansand;47;47;*;;
Torridal skole;Kristiansand;51;48;49;;
Ve skole;Kristiansand;50;*;46;;
Vigvoll skole;Kristiansand;51;48;47;;
Kvinesdal ungdomsskole;Kvinesdal;44;42;44;;
Kvinlog skule;Kvinesdal;48;48;45;;
Lillesand kommune - Høvåg skole;Lillesand;47;50;50;;
Lillesand kommune - Lillesand ungdomsskole;Lillesand;49;49;47;;
Blomdalen ungdomsskole;Lindesnes;50;49;49;;
Oasen skole Mandal AS;Lindesnes;*;*;*;;
Vassmyra ungdomsskole;Lindesnes;*;*;*;;
Vigeland ungdomsskole;Lindesnes;*;*;*;;
Øyslebø ungdomsskole;Lindesnes;48;46;46;;
Byremo ungdomsskole;Lyngdal;47;*;*;;
Lyngdal ungdomsskole;Lyngdal;48;*;*;;
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;48;*;*;;
Risør ungdomsskole;Risør;49;48;48;;
Sinnes skule;Sirdal;*;*;*;;
Tonstad skule;Sirdal;*;*;*;;
Lyngmyr skole;Tvedestrand;50;49;48;;
Valle skule;Valle;*;*;*;;
Vegårshei skule;Vegårshei;48;49;47;;
Oasen skole Vennesla AS;Vennesla;50;41;48;;
Skarpengland skole;Vennesla;49;49;45;;
Vennesla ungdomsskole;Vennesla;48;46;46;;
Åmli skule;Åmli;48;47;45;;
Åseral barne- og ungdomsskule;Åseral;46;52;49;;
Borgen ungdomsskole;Asker;54;50;49;;
Hovedgården ungdomsskole;Asker;53;49;51;;
Landøya ungdomsskole;Asker;53;53;52;;
Norges Toppidrettsgymnas ungdomsskole Asker AS;Asker;53;54;55;;
Risenga ungdomsskole;Asker;55;54;53;;
Røyken ungdomsskole;Asker;53;50;46;;
Slemmestad ungdomsskole;Asker;50;50;48;;
Solvang ungdomsskole;Asker;51;51;52;;
Spikkestad ungdomsskole;Asker;48;50;47;;
Steinerskolen i Asker skole;Asker;47;*;;;
Steinerskolen i Hurum Sti;Asker;47;*;42;;
Stiftelsen Asker International School;Asker;63;52;57;;
Sætre ungdomsskole;Asker;49;47;44;;
Tofte ungdomsskole;Asker;50;46;46;;
Torstad ungdomsskole;Asker;52;51;52;;
Vollen ungdomsskole;Asker;53;51;50;;
Aurskog-Høland kommune - Aursmoen skole;Aurskog-Høland;49;46;44;;
Aurskog-Høland kommune - Bjørkelangen skole;Aurskog-Høland;47;46;46;;
Aurskog-Høland kommune - Bråte skole;Aurskog-Høland;46;45;44;;
Bekkestua skole;Bærum;53;52;51;;
Bjørnegård skole;Bærum;52;50;49;;
Eineåsen skole;Bærum;48;47;45;;
Gjettum skole;Bærum;52;49;49;;
Hauger skole;Bærum;52;49;50;;
Hosletoppen skole;Bærum;53;53;53;;
Hundsund ungdomsskole;Bærum;53;52;52;;
Mølladammen ungdomsskole;Bærum;51;50;49;;
Norges Realfagsungdomsskole Sandvika AS;Bærum;63;60;66;;
Norges Toppidrettsgymnas ungdomsskole Bærum AS;Bærum;56;55;56;;
Oslo International School;Bærum;61;50;*;;
Ramstad skole;Bærum;53;52;51;;
Ringstabekk skole;Bærum;54;52;51;;
Steinerskolen i Bærum Grunnskoleundervisning;Bærum;*;*;*;;
Stiftelsen Bærum montessoriskole;Bærum;*;*;*;;
Vøyenenga skole;Bærum;50;48;46;;
Østerås skole;Bærum;54;55;53;;
Feiring skole;Eidsvoll;*;*;*;;
Råholt ungdomsskole;Eidsvoll;49;46;46;;
Steinerskolen på Eidsvoll;Eidsvoll;*;*;*;;
Vilberg ungdomsskole;Eidsvoll;*;*;*;;
Kirkebygden barne- og ungdomsskole;Enebakk;51;48;45;;
Mjær ungdomsskole;Enebakk;49;46;48;;
Drøbak Montessori ungdomsskole AS;Frogn;*;*;*;;
Dyrløkkeåsen skole;Frogn;51;50;50;;
Seiersten ungdomsskole;Frogn;52;51;50;;
Stiftelsen Soon sjøskole;Frogn;*;*;*;;
Gjerdrum ungdomsskole;Gjerdrum;48;47;45;;
Hurdal skole og kultursenter avd skole;Hurdal;49;49;46;;
Jevnaker ungdomsskole;Jevnaker;51;49;46;;
Asak skole;Lillestrøm;*;*;46;;
Bingsfoss ungdomsskole;Lillestrøm;50;49;46;;
Bråtejordet skole;Lillestrøm;51;48;46;;
Frogner skole;Lillestrøm;52;50;49;;
Frydenlund skole og ressurssenter;Lillestrøm;;;;;
Kjeller skole;Lillestrøm;52;50;50;;
Oks friskole Sti;Lillestrøm;*;*;*;;
Romerike steinerskole AS;Lillestrøm;*;*;*;;
Sophie Radich skole;Lillestrøm;52;50;50;;
Stav skole;Lillestrøm;50;47;47;;
