EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Furnes ungdomsskole;Ringsaker;49;50;48;;
Moelv ungdomsskole;Ringsaker;44;46;46;;
Nes ungdomsskole;Ringsaker;50;52;49;;
Heidal skule;Sel;*;*;*;;
Otta ungdomsskole;Sel;*;*;*;;
Skjåk barne- og ungdomsskule;Skjåk;50;49;47;;
Ottestad ungdomsskole;Stange;52;52;*;;
Romedal ungdomsskole;Stange;48;49;*;;
Stange ungdomsskole;Stange;51;51;*;;
Steinerskolen på Hedemarken avd grunnskolen Ottestad;Stange;47;55;*;;
Stor-Elvdal ungdomsskole;Stor-Elvdal;46;50;52;;
Søndre Land ungdomsskole;Søndre Land;46;47;47;;
Hedalen barne- og ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Aurdal ungdomsskole;Sør-Aurdal;*;*;*;;
Sør-Fron ungdomsskule;Sør-Fron;47;50;51;;
Glommasvingen skole;Sør-Odal;49;49;48;;
Tolga skole;Tolga;47;52;52;;
Trysil ungdomsskole;Trysil;50;51;48;;
Kvikne skole;Tynset;48;48;50;;
Tynset ungdomsskole;Tynset;49;53;51;;
Vang barne- og ungdomsskule;Vang;48;50;50;;
Vestre Slidre skule;Vestre Slidre;51;50;51;;
Vestre Toten ungdomsskole;Vestre Toten;47;47;46;;
Vågå ungdomsskule;Vågå;49;51;51;;
Våler barne- og ungdomsskole;Våler (Innlandet);44;49;47;;
Lena ungdomsskole;Østre Toten;48;48;49;;
Skreia ungdomsskole;Østre Toten;49;50;49;;
Øyer ungdomsskole;Øyer;52;48;49;;
Øystre Slidre ungdomsskule;Øystre Slidre;47;49;47;;
Åmot ungdomsskole;Åmot;46;47;49;;
Åsnes ungdomsskole;Åsnes;49;50;51;;
Gossen barne- og ungdomsskole avd skole;Aukra;52;51;50;;
Julsundet skole;Aukra;50;51;50;;
Aure barne- og ungdomsskole;Aure;*;*;*;;
Tustna barne- og ungdomsskole;Aure;*;*;*;;
Averøy ungdomsskole;Averøy;51;51;50;;
Eidsdal skule;Fjord;*;*;*;;
Stordal skule;Fjord;*;*;*;;
Valldal skule;Fjord;47;51;49;;
Giske ungdomsskule;Giske;52;52;51;;
Batnfjord skule;Gjemnes;49;52;50;;
Hareid ungdomsskule;Hareid;48;47;49;;
Herøy ungdomsskule;Herøy (Møre og Romsdal);49;49;48;;
Møre barne- og ungdomsskule;Herøy (Møre og Romsdal);48;49;50;;
Stokksund barne- og ungdomsskule;Herøy (Møre og Romsdal);50;51;53;;
Bud skule;Hustadvika;*;*;*;;
Eide ungdomsskole;Hustadvika;48;*;47;;
Fræna ungdomsskule;Hustadvika;48;47;*;;
Hustad skole;Hustadvika;*;49;50;;
Atlanten ungdomsskole;Kristiansund;51;48;49;;
