EnhetNavn;Kommune;Engelsk;Lesing;Regning;lat;lng
Arendal International School (Ais);Arendal;58;50;49;58.432075;8.74147
Asdal skole;Arendal;46;44;45;58.435024;8.694807
Birkenlund skole;Arendal;51;48;47;58.470299;8.792936
Hisøy skole 1-10 Skoler;Arendal;53;53;51;58.4449844;8.7652587
Moltemyr skole;Arendal;51;49;45;58.475933;8.764561
Nedenes skole;Arendal;51;50;52;58.4131671;8.7094974
Roligheden skole Barne-/Ungdomstrinnet;Arendal;50;48;47;58.455447;8.803997
St. Franciskus skole;Arendal;54;50;52;58.4577927;8.7659565
Stiftelsen steinerskolen i Arendal;Arendal;52;52;52;58.4761148;8.7559636
Stinta skole barne- og Ungdomstrinnet;Arendal;50;46;48;58.462557;8.7579788
Stuenes skole barne- og Ungdomstrinn;Arendal;50;45;46;58.492494;8.847901
Engesland skole;Birkenes;*;*;*;58.52942;8.11796
Valstrand skole;Birkenes;*;*;*;58.322797;8.239794
Bygland skule;Bygland;47;*;*;58.831722;7.798301
Bykle barne- og ungdomsskule;Bykle;*;*;*;59.3567449;7.3586337
Evje ungdomsskule;Evje og Hornnes;50;47;51;58.590371;7.81989
Farsund ungdomsskole;Farsund;52;50;50;58.0919802;6.7947441
Lista ungdomsskole;Farsund;50;48;49;58.0904614;6.6882549
Flekkefjord ungdomsskole;Flekkefjord;49;48;49;58.303438;6.667718
Froland ungdomsskole;Froland;50;47;49;58.51306;8.629707
Abel skole;Gjerstad;45;45;46;58.839058;9.094655
Drottningborg ungdomsskole AS;Grimstad;49;50;51;58.33732680000001;8.5812467
Fevik skole;Grimstad;50;47;48;58.381716;8.679816
Grimstad ungdomsskole;Grimstad;49;48;48;58.345837;8.59004
Holviga ungdomsskole;Grimstad;52;49;51;58.324773;8.565885
Iveland skole;Iveland;49;45;46;58.456334;7.919944
Finsland skole;Kristiansand;44;46;43;58.2736055;7.585993
Fiskå skole;Kristiansand;50;47;48;58.1260587;7.9543887
Grim skole;Kristiansand;50;47;47;58.1482333;7.9705422
Haumyrheia skole;Kristiansand;50;51;48;58.1579323;8.0666273
Havlimyra skole;Kristiansand;51;50;52;58.1912295;8.0334397
Hellemyr skole Kompetanse;Kristiansand;;;;58.1473505;7.9367722
Holte skole;Kristiansand;51;50;51;58.128196;8.095298
Karuss skole;Kristiansand;50;45;47;58.1292669;7.9499914
Kristiansand Internasjonale skole;Kristiansand;57;48;49;58.156184;8.018051
Krossen skole - Kompetanse;Kristiansand;;;;58.1539482;7.9535881
Lindebøskauen skole;Kristiansand;47;46;47;58.0882304;7.9996158
Møvig skole;Kristiansand;49;47;48;58.104393;7.972108
Oasen skole Birkelid AS;Kristiansand;50;47;47;58.1253102;7.844828299999999
Oasen skole Strømme AS grunnskole;Kristiansand;52;51;50;58.1548321;8.0760794
Oasen skole Vågsbygd AS;Kristiansand;*;*;*;58.11919280000001;7.9475772
Oddemarka skole;Kristiansand;51;50;51;58.1570083;8.01482
Samfundets skole Sentrum;Kristiansand;52;55;56;58.149636;7.993728
Songdalen skole;Kristiansand;48;45;43;58.155498;7.8305056
Stiftelsen steinerskolen i Kristiansand;Kristiansand;*;*;*;58.1591762;8.0152391
Tangvall skole;Kristiansand;50;48;47;58.0966803;7.8102969
Tinntjønn skole;Kristiansand;48;48;48;58.1017511;7.766182
Torridal skole;Kristiansand;49;46;46;58.2044254;7.927384
Ve skole;Kristiansand;50;46;50;58.207817;8.110378
Vigvoll skole;Kristiansand;51;48;48;58.1757395;8.0897579
Kvinesdal ungdomsskole;Kvinesdal;*;*;*;58.312611;6.962985
Kvinlog skule;Kvinesdal;*;*;*;58.5208294;6.9324785
Lillesand kommune - Høvåg skole;Lillesand;49;49;52;58.1593707;8.217202499999999
Lillesand kommune - Lillesand ungdomsskole;Lillesand;50;46;48;58.257072;8.3617219
Blomdalen ungdomsskole;Lindesnes;48;47;49;58.0255815;7.443085
Oasen skole Mandal AS;Lindesnes;47;45;43;58.0334803;7.454668700000001
Vassmyra ungdomsskole;Lindesnes;51;49;49;58.027665;7.49768
Vigeland ungdomsskole;Lindesnes;48;46;47;58.080665;7.314025
Øyslebø ungdomsskole;Lindesnes;47;46;49;58.1716737;7.5545706
Byremo ungdomsskole;Lyngdal;47;45;49;58.424501;7.405312
Lyngdal ungdomsskole;Lyngdal;47;44;47;58.1358091;7.0665804
Stiftelsen Lyngdal Kristne grunnskole;Lyngdal;52;50;53;58.129238;7.065723999999999
Risør ungdomsskole;Risør;49;49;46;58.714562;9.21912
Sinnes skule;Sirdal;*;*;*;58.913905;6.884116
Tonstad skule;Sirdal;*;*;*;58.671944;6.721219
Lyngmyr skole;Tvedestrand;48;46;44;58.628779;8.93527
Valle skule;Valle;*;*;*;59.199743;7.532156
Vegårshei skule;Vegårshei;49;51;48;58.75259;8.861058
Oasen skole Vennesla AS;Vennesla;54;47;52;58.2777255;7.970207
Skarpengland skole;Vennesla;47;46;47;58.2946496;7.8526035
Vennesla ungdomsskole;Vennesla;49;47;47;58.2757885;7.9771211
Åmli skule;Åmli;49;47;49;58.772319;8.49638
Åseral barne- og ungdomsskule;Åseral;*;*;*;58.61885;7.420922
Akademiet ungdomsskole Asker AS;Asker;62;55;59;59.7691633;10.2523618
Borgen ungdomsskole;Asker;52;49;50;59.8265928;10.4194823
Holmen skole Grunnskole/Videregående skole;Asker;*;*;*;59.865819;10.486931
Hovedgården ungdomsskole;Asker;52;49;50;59.7848343;10.4366861
Landøya ungdomsskole;Asker;51;50;50;59.860315;10.4979949
Norges Toppidrettsgymnas ungdomsskole Asker AS;Asker;52;52;55;59.9254233;10.5909234
Risenga ungdomsskole;Asker;53;50;52;59.8255953;10.4410402
Slemmestad ungdomsskole;Asker;51;49;47;59.7777992;10.4786267
Solvang ungdomsskole;Asker;54;52;51;59.8399357;10.4244707
Spikkestad ungdomsskole;Asker;51;47;47;59.740071;10.350366
Steinerskolen i Asker skole;Asker;48;*;45;59.8613471;10.4950208
Steinerskolen i Hurum Sti;Asker;47;*;40;59.6330556;10.4958333
Stiftelsen Asker International School;Asker;61;48;54;59.8297074;10.4171605
Sætre ungdomsskole;Asker;49;48;47;59.6703561;10.5368909
Tofte ungdomsskole;Asker;*;*;*;59.5495895;10.5640329
Torstad ungdomsskole;Asker;56;55;54;59.8622334;10.4810047
Vollen ungdomsskole;Asker;54;51;50;59.800284;10.489696
